snapshot,sample,arm,reference,metric,level,paired_delta,positive,n
原快照,全样本,BUY2,SB1,Calmar,0.6007925000000001,0.037698500000000024,10,14
原快照,全样本,BUY2,SB1,平均仓位,1.6444085,-0.004275000000000029,1,14
原快照,全样本,BUY2,SB1,年均换手,7.5012945,0.4455460000000002,11,14
原快照,全样本,BUY2,SB1,持仓数中位,6.0,-1.0,0,14
原快照,全样本,BUY2,SB1,单票权重中位,0.6535015,0.0008759999999999879,8,14
原快照,全样本,BUY2,SB1,单票权重P90,0.9210195,-0.012219999999999953,6,14
原快照,全样本,BUY2,SB1,单票权重最大,1.0899255,-0.03007749999999998,5,14
原快照,全样本,BUY2,SB1,前三权重中位,1.485187,0.01534650000000004,10,14
原快照,全样本,BUY2,SB1,单票超60%天数占比,0.8142050000000001,0.015946499999999975,9,14
原快照,全样本,BUY2,SB1,滚动3年年化中位,0.471572,0.019303499999999973,10,14
原快照,全样本,BUY2,SB1,滚动3年回撤中位,0.44350599999999996,0.0026540000000000175,10,14
原快照,全样本,BUY2,SB1,滚动3年Calmar中位,1.123565,0.023594000000000004,10,14
原快照,全样本,BUY2,SB1,滚动3年Sharpe中位,0.9410115,0.019658999999999982,10,14
原快照,全样本,BUY2,SB1,滚动3年为负的窗口占比,0.021735499999999998,0.0,3,14
原快照,全样本,BUY2,SB1,滚动5年年化中位,0.5226885,0.024494000000000016,11,14
原快照,全样本,BUY2,SB1,滚动5年年化P25,0.3530765,0.01376700000000003,11,14
原快照,全样本,BUY2,SB1,滚动5年年化最差,0.0877945,0.009551500000000001,10,14
原快照,全样本,BUY2,SB1,滚动5年回撤中位,0.454132,0.002567999999999959,9,14
原快照,全样本,BUY2,SB1,滚动5年Calmar中位,1.139653,0.050702499999999984,12,14
原快照,全样本,BUY2,SB1,滚动5年Sharpe中位,0.9764135,0.017830500000000082,11,14
原快照,全样本,BUY2,SB1,滚动5年为负的窗口占比,0.0,0.0,0,14
原快照,全样本,BUY2,SB1,滚动5年窗口数,102.0,0.0,0,14
原快照,全样本,BUY2,SB1,互不重叠5年块中位,0.606662,0.015949000000000046,10,14
