security_code,security_name,entry_date,exit_date,holding_days,buys,sells,invested,proceeds,dividends,return_pct,max_drawdown_in_cycle,max_money_drawdown,entry_stop,entry_stop_ma,entry_pv_ratio,entry_upside,entry_intrinsic_value,entry_band_low,entry_band_high,exit_reason
000338,潍柴动力,2023-01-06,2023-05-23,137,11,2,7538489.00,8242873.00,0.00,0.093438,0.135593,0.152564,10.2338,60,0.4953,1.0287,21.6052,20.1857,23.0247,换仓：让位给空间更大的601225
600938,中国海油,2023-04-12,2024-11-18,586,28,10,66422787.00,88324008.37,4380142.37,0.329725,0.267508,0.330039,14.1570,60,0.5633,0.7439,31.6335,29.5552,33.7118,换仓：让位给空间更大的002466
601088,中国神华,2023-04-17,2023-06-01,45,4,1,5485248.00,5163262.00,0.00,-0.058700,0.118500,0.136133,28.1563,60,0.5430,0.8010,52.3023,48.8660,55.7386,跌破建仓日MA60止损
601916,,2023-05-05,2023-06-27,53,6,1,3831.60,3653.20,21.00,-0.046560,0.146417,0.105250,2.5614,60,0.7236,0.3647,4.3944,4.1057,4.6831,跌破建仓日MA60止损
601088,中国神华,2023-06-13,2024-03-19,280,25,10,46006498.00,55200134.00,312120.00,0.199833,0.099682,0.089114,26.6500,60,0.5490,0.8343,54.3312,50.7616,57.9008,换仓：让位给空间更大的000001
000338,潍柴动力,2023-07-12,2023-08-11,30,2,1,2528.00,2460.00,0.00,-0.026899,0.068182,0.068182,12.1002,60,0.7303,0.3910,17.6096,16.4526,18.7666,换仓：让位给空间更大的000792
000933,神火股份,2023-07-27,2026-04-30,1008,50,13,117613280.00,211211664.00,5861550.00,0.795815,0.459902,0.445325,12.2407,60,0.5455,0.8393,27.6260,25.8110,29.4410,换仓：让位给空间更大的600919
000792,盐湖股份,2023-08-09,2023-08-14,5,3,1,4836279.00,4712972.00,0.00,-0.025496,0.037150,0.027480,19.4628,60,0.3885,1.5724,50.4444,47.1302,53.7586,跌破建仓日MA60止损
002532,天山铝业,2023-08-09,2023-08-21,12,2,1,1363.00,1270.00,0.00,-0.068232,0.070278,0.072325,6.4688,60,0.6742,0.5029,10.2198,9.5484,10.8912,跌破建仓日MA60止损
600919,江苏银行,2023-09-01,2023-09-05,4,1,1,713.00,688.00,0.00,-0.035063,0.035063,0.035063,7.0097,60,0.6622,0.5101,10.7669,10.0595,11.4743,跌破建仓日MA60止损
601658,,2023-09-11,2023-09-12,1,1,1,488.00,488.00,0.00,0.000000,0.000000,0.000000,4.8534,60,0.8659,0.1596,5.6588,5.2870,6.0306,换仓：让位给空间更大的601225
600919,江苏银行,2023-09-13,2023-09-14,1,1,1,704.00,712.00,0.00,0.011364,0.000000,0.000000,7.0073,60,0.6566,0.5294,10.7669,10.0595,11.4743,换仓：让位给空间更大的601225
603067,振华股份,2023-11-30,2023-12-01,1,1,1,1016.00,1014.00,0.00,-0.001969,0.000000,0.000000,10.2012,60,0.8868,0.1476,11.6600,10.8939,12.4261,跌破建仓日MA60止损
601939,建设银行,2023-12-12,2024-01-12,31,4,2,102345.00,104041.00,0.00,0.016571,0.025487,0.024251,6.3573,60,0.7644,0.2900,8.3333,7.7858,8.8808,换仓：让位给空间更大的601225
